Name,Code,Ks,P / E,FRV,泡沫程度
崑鼎,6803,0.054,18.52,282.80,0.810
貿聯-KY,3665,0.061,16.39,256.50,0.932
黑松,1234,0.050,20.00,47.60,0.738
聚積,3527,0.053,18.87,83.03,1.349
和泰車,2207,0.050,20.00,628.40,0.942
中華車,2204,0.070,14.29,118.18,0.613
統一超,2912,0.046,21.74,240.23,1.093
頎邦,6147,0.070,14.29,95.74,0.731
大成,1210,0.054,18.52,81.12,0.730
卜蜂,1215,0.067,14.93,97.05,0.848
味全,1201,0.070,14.29,21.86,0.981
嘉澤,3533,0.050,20.00,608.40,0.894
南茂,8150,0.060,16.67,78.02,0.624
金像電,2368,0.058,17.24,79.82,0.738
台聚,1304,0.068,14.71,57.81,0.628
亞聚,1308,0.052,19.23,61.34,0.532
華夏,1305,0.071,14.08,67.87,0.538
台達化,1309,0.072,13.89,82.37,0.518
中石化,1314,0.059,16.95,16.27,0.739
國巨,2327,0.075,13.33,566.66,0.937
中鋼,2002,0.066,15.15,52.27,0.679
中鴻,2014,0.064,15.63,52.99,0.951
新光鋼,2031,0.064,15.63,93.15,0.690
盛餘,2029,0.046,21.74,55.00,0.659
